caves_id;WKT;name
180;POINT (420821.365162823 5455462.63274533);Jaskinia pod Iglicą
181;POINT (420822.742318878 5455449.57033596);Szczelina w Iglicy
182;POINT (420900.663754565 5455522.21345841);Jaskinia nad Zagonem
183;POINT (420930.201475892 5455541.35848932);Jaskinia Błotna
184;POINT (421054.323705275 5455674.58364221);Tunel pod Siwarową Matką Boską
185;POINT (421220.317733308 5455521.16470727);Tunel Małołącki
186;POINT (421019.034779003 5455702.98752718);Siwarowa Dziura
187;POINT (418843.331735178 5454044.28157197);Jaskinia Wysoka
188;POINT (425653.294864542 5456281.26657328);Jaskinia Kasprowa Niżnia
189;POINT (436060.957634583 5452081.01829331);Mesačný tieň
190;POINT (420671.513131562 5453264.46317472);Zadný úplaz
191;POINT (417188.500002029 5454705.59261679);Jaskinia Obłazkowa
192;POINT (426030.179353997 5456000.75318691);Jaskinia Kasprowa Średnia
193;POINT (426043.482874758 5456080.26257633);Jaskinia Kasprowa Wyżnia
194;POINT (426080.686731132 5456000.95290347);Jaskinia Kasprowa Wyżnia
195;POINT (426924.045844761 5455721.47231639);Jaskinia Magurska
196;POINT (420857.905641882 5455497.43230203);Szpara w Zagonnej Turni
197;POINT (417852.859214659 5454276.87026936);Schron z Napisami
198;POINT (417922.638200962 5454284.49147302);Dudzia Dziura
199;POINT (417958.811844889 5454249.88333698);Jaskinia Pajęcza
200;POINT (417997.79055486 5454325.85793305);Ukryty Schron
201;POINT (417970.813455922 5454388.83827061);Dziura pod Arkadą
202;POINT (417990.135758983 5454416.61513418);Mała Gawra
203;POINT (417992.798455055 5454400.83077761);Arkada
204;POINT (417992.799545474 5454381.83927766);Szczelina przy Arkadzie
205;POINT (418014.796345193 5454362.84266881);Schron przy Arkadzie
206;POINT (418014.810917734 5454384.84721839);Jaskinia nad Arkadą
207;POINT (418041.774195429 5454391.82889751);Jaskinia Skoruszowa
208;POINT (418033.957445847 5454371.48605344);Jaskinia nad Percią
209;POINT (418043.784046943 5454369.83869306);Jaskinia przy Perci
210;POINT (418070.765414773 5454293.8715315);Spękana Szczelina
211;POINT (418032.788677127 5454274.87819274);Jaskinia z Konkrecjami Niżnia
212;POINT (418050.770431569 5454266.88274079);Dziura z Konkrecjami Wyżnia
213;POINT (424635.103007357 5456277.08307219);Mokra Koleba
214;POINT (417540.975517957 5454530.768122);Schron przy Smoczej Jamie
215;POINT (420008.976994602 5454787.67824606);Schron przy Studni
216;POINT (417363.969982172 5455817.10941326);Schron przed Sową III
217;POINT (424632.877620853 5456416.95518107);Kalacki Korytarzyk
218;POINT (421691.587354692 5454827.55451986);Dziura pod Świstową Studnią
219;POINT (418405.027746392 5457425.91780033);Mała dziura w Kończystej Turni
220;POINT (418996.07528311 5457276.04691653);Szczelina Przysłopczańska
221;POINT (418401.990345199 5457337.91016024);Dziura w Żlebku
222;POINT (418386.717624803 5457368.92571381);Schronik w Kończystej Turni
223;POINT (418458.185449026 5457435.73721543);Jaskinia Niska
224;POINT (418520.787164163 5457341.33075682);Ciasna Norka
225;POINT (418437.325281279 5457381.44025757);Schron pod Kończystą
226;POINT (418561.318445157 5457439.03504375);Nyża w Kończystej
227;POINT (418528.2427996 5457377.95803721);Okap w Kończystej Turni
228;POINT (418633.679235165 5457367.67999934);Schronisko Wschodnie w Kończystej
229;POINT (418920.452174538 5457350.6029547);Jaskinia Barłogowa
230;POINT (419024.613309919 5457329.75470052);Dziura za Smrekiem w Zawiesistej
231;POINT (421372.615869285 5458606.76969239);Jasiowy Schron
232;POINT (417502.656110344 5456274.35142423);Szczelina przy Dziurawcu
233;POINT (417497.857740987 5456069.84131481);Dziura za Wapiennikiem
234;POINT (417627.357704769 5456099.29081264);Komora w Okręcie
235;POINT (417641.298112455 5456082.87038754);Nisza z Jaworem
236;POINT (417692.088476966 5456077.97414841);Szczelina za Okrętem Pierwsza
237;POINT (417727.49886579 5456340.33546569);Jaskinia w Małym Krakowie
